К;Метро;От М;Улица;№ дома;Дом;Площадь;Общ;Жил;Кух;Б;Л;Т;С;П;И;Цена,руб;Статус;Примечание
1;Новые Черемушки м.;3т;Херсонская ул.;14;1/5 Б;30/15/6;30;15;6;?;;Т;С;П;?;5 000 000;прямая продажа;Продается квартира в блочном доме в престижном районе Москвы.Высокий первый этаж,хорошее состояние.Первичные документы,приватизация 1994 года.Один взрослый собственник,один прописан,выписка до сделки.Свободная продажа,ипотека приветствуется.Звоните,уважаемые клиенты и коллеги,показ оперативно.,  комнаты: 15, окна во двор, прямая продажа
1;Новые Черемушки м.;5т;Гарибальди ул.;4К5;1/9 Б;32/22/6.5;32;22;06.май;-;есть;Т;С;П;?;5 150 000;прямая продажа;"СВОБОДНАЯ ПРОДАЖА! Квартира с просторной 22-метровой комнатой. Стеклопакеты; полы - паркетная доска. Один взрослый собственник; наследство от бабушки к внучке. Дом после капитального ремонта, утеплен и облицован плиткой; расположен в тихом ухоженном дворе. Чистый подъезд. Престижный респектабельный район Москвы с развитой инфраструктурой, множеством магазинов и торговых центров. Рядом красивейший Воронцовский парк и Воронцовские пруды. В округе расположены все самые знаменитые ВУЗы страны.,  комнаты: 22, окна во двор, мусоропровод: есть, лифт: есть, прямая продажа"
1;Новые Черемушки м.;5п;Цюрупы ул.;15.мар;9/9 П;34/19/6.5;34;19;06.май;?;есть;Т;Р;ЛМ;?;6 950 000;альтернатива;Продается 1к.кв.,м.Новые Черемушки 5м.п.,общ,34/19/6,5.Квартира расположена на 9/9П чистая,аккуратная.Кухонный гарнитур и кондиционер в подарок.Окна стеклопакеты,с/у разд,домоф.Удобная транспортная доступность, развитая инфраструктура,рядом два парка.ДКП более 3-х лет,окна на улицу.,  комнаты: 19, окна на улицу, мусоропровод: есть, лифт: есть, альтернатива
1;Профсоюзная м.;10п;Профсоюзная ул.;44;8/9 П;33/18/7;33;18;7;Л;есть;Т;Р;П;?;6 400 000;альтернатива;Альтернатива подобрана и проавансирована! Быстрый выход на сделку! Квартира в хорошем состоянии, удобная планировка, железная дверь, паркет, раздельный санузел, гардеробная, пластиковые стеклопакеты, застекленный балкон, вид из окон во двор (см фото). Подъезд - чистый, без запахов. Дом находится в одном из самых зеленых районов Москвы, в центре микрорайона с хорошо развитой инфраструктурой. В радиусе 600 метров расположены две станции метро, продуктовые супермаркеты 5-ти крупных сетей всех ценовых сегментов. Рядом с домом находится стадион общего пользования с искусственным покрытием и беговой дорожкой. В соседнем доме базируется отдельный батальон ППС, что обеспечивает спокойную окружающую обстановку.Один взрослый собственник, больше трех лет в собственности. Альтернатива на 3-х комнатную квартиру (доплата - ипотечными средствами).,  комнаты: 18, окна во двор, мусоропровод: есть, лифт: есть, альтернатива
1;Новые Черемушки м.;?;Профсоюзная ул.;44;8/9 П;33/18/7;33;18;7;Л;есть;Т;Р;П;?;6 400 000;альтернатива;Альтернатива подобрана и проавансирована! Быстрый выход на сделку! Квартира в хорошем состоянии, удобная планировка, железная дверь, паркет, раздельный санузел, гардеробная, пластиковые стеклопакеты, застекленный балкон, вид из окон во двор (см фото). Подъезд - чистый, без запахов. Дом находится в одном из самых зеленых районов Москвы, в центре микрорайона с хорошо развитой инфраструктурой. В радиусе 600 метров расположены две станции метро, продуктовые супермаркеты 5-ти крупных сетей всех ценовых сегментов. Рядом с домом находится стадион общего пользования с искусственным покрытием и беговой дорожкой. В соседнем доме базируется отдельный батальон ППС, что обеспечивает спокойную окружающую обстановку.Один взрослый собственник, больше трех лет в собственности. Альтернатива на 3-х комнатную квартиру (доплата - ипотечными средствами).,  окна во двор, мусоропровод: есть, лифт: есть, альтернатива
1;Новые Черемушки м.;12п;Перекопская ул.;30к1;7/9 П;32.6/18/7;32.6;18;7;-;есть;?;Р;?;?;6 500 000;прямая продажа; комнаты: 18, окна во двор, лифт: есть, прямая продажа
1;Академическая м.;10п;Шверника ул.;14/1К1;3/5 К;32/17/6.5;32;17;06.май;Б;нет;Т;С;п/д;?;7 300 000;прямая продажа;Продается светлая уютная квартира, 10 мп м Академическая. Один взрослый собственник, никто не прописан.Балкон, кухня, в комнате два окна (можно разделить комнату). СВОБОДНАЯ ПРОДАЖА! быстрый выход на сделку.,  комнаты: 17, окна во двор, мусоропровод: есть, лифт: нет, прямая продажа
2;Профсоюзная м.;10п;Нахимовский пр-т;41/45к2;8/9 Б;38/23/7;38;23;7;Л;пасс.;?;С;?;?;7 100 000;прямая продажа;'Квартира подготовлена под ремонт. Более 3-х лет. Полная стоимость в ДКП.  Панорамный вид на Москву.',  комнаты: 14/9, окна во двор и на улицу, без отделки, мусоропровод: есть, лифт: пасс., прямая продажа, количество собственников: 1
2;Профсоюзная м.;10п;Нахимовский пр-т;41/45к2;8/9 Б;38/23/7;38;23;7;Л;пасс.;?;С;?;?;7 100 000;прямая продажа;Квартира подготовлена под ремонт. Более 3-х лет. Полная стоимость в ДКП.  Панорамный вид на Москву.,  комнаты: 14/9, без отделки, мусоропровод: есть, лифт: пасс., прямая продажа, количество собственников: 1
1;Нагатинская м. (Академическая м., 5т);5т;Севастопольский пр-т;7К5;3/5 П;35.2/18.8/6;35.2;18.авг;6;Б;;?;С;?;+;6 500 000;прямая продажа;Отличная квартира в давно и хорошо сложенном районе Москвы,отличная траспортгная доступность к нескольким станциям метро,тихо,зелено,в соседнем дворе д/садик и школа! В собственности 19 лет! Распашенка! Есть кладовка! СВОБОДНА!!!! Оперативно покажем и выйдем на сделку!,  окна во двор, хорошее состояние, прямая продажа, возможна продажа по ипотеке
